constellation,abbreviation,abbreviation_upper,meaning,pronunciation,genitive,area,messiers,ngcs,caldwells,brightest_stars,ngcs2,date_best,visible,ra_low_h,ra_low_m,ra_high_h,ra_low_m3,dec_low_d,dec_low_m,dec_high_d,dec_high_m,ra_mid_h,ra_mid_m,dec_mid_d,dec_mid_m,ra_low_frac,ra_high_frac,dec_low_frac,dec_high_frac,ra_mid_frac,dec_mid_frac
Andromeda,And,AND,The Daughter of Cassiopeia,an-drom-E-du,Andromedae,722.278,3,2,3,3,160,10.04,V,22,57.37,2,39.54,21,40.6,53,11.22,0,48.46,37,25.91,22.95616667,2.659,21.67666667,53.187,0.807666667,37.43183333
Antlia,Ant,ANT,The Air Pump,ant-lE-u,Antliae,238.901,0,0,0,0,66,2.25,P,9,26.94,11,5.92,-40,25.48,-24,32.55,10,16.43,-32,29.01,9.449,11.09866667,-39.57533333,-23.4575,10.27383333,-31.5165
Apus,Aps,APS,The Bird of Paradise,A-pus,Apodis,206.327,0,0,1,0,9,5.25,N,13,49.84,18,27.46,-83,7.2,-67,28.8,16,8.65,-75,18,13.83066667,18.45766667,-82.88,-66.52,16.14416667,-74.7
Aquarius,Aqr,AQR,The Water-bearer,u-kwer-E-us,Aquarii,979.854,3,2,2,0,146,8.27,V,20,38.32,23,56.44,-24,54.24,3,19.54,22,17.38,-10,47.35,20.63866667,23.94066667,-23.096,3.325666667,22.28966667,-9.210833333
Aquila,Aql,AQL,The Eagle,u-kwil-u or ak-wil-u,Aquilae,652.473,0,1,0,1,41,7.18,V,18,41.3,20,38.74,-11,51.99,18,41.29,19,40.02,3,24.65,18.68833333,20.64566667,-10.1335,18.68816667,19.667,3.410833333
Ara,Ara,ARA,The Altar,A-ru,Arae,237.057,0,0,3,0,17,6.13,N,16,34.28,18,10.69,-67,41.43,-45,29.16,17,22.49,-56,35.3,16.57133333,18.17816667,-66.3095,-44.514,17.37483333,-55.41166667
Aries,Ari,ARI,The Ram,e-rEz or e-ri-Ez,Arietis,441.395,0,1,0,1,81,11.01,V,1,46.62,3,29.71,10,21.79,31,13.28,2,38.16,20,47.54,1.777,3.495166667,10.36316667,31.22133333,2.636,20.79233333
Auriga,Aur,AUR,The Charioteer,o-rI-gu or o-rE-gu,Aurigae,657.438,3,1,1,2,25,12.23,V,4,37.91,7,30.94,27,53.48,56,9.89,6,4.42,42,1.68,4.631833333,7.515666667,27.89133333,56.16483333,6.073666667,42.028
Bootes,Boo,BOO,The Herdsman,bO-O-tEz,Bootis,906.831,0,1,1,2,289,5.03,V,13,35.82,15,49.46,7,21.63,55,2.69,14,42.64,31,12.16,13.597,15.82433333,7.3605,55.04483333,14.71066667,31.20266667
Caelum,Cae,CAE,The Chisel,sE-lum,Caeli,124.865,0,0,0,0,16,12.02,P,4,19.53,5,5.02,-48,44.31,-27,1.49,4,42.27,-37,52.9,4.3255,5.083666667,-47.2615,-26.97516667,4.7045,-36.11833333
Camelopardalis,Cam,CAM,The Giraffe,ka-mel-O-por-du-lis,Camelopardalis,756.828,0,3,2,0,53,2.03,V,3,15.6,14,27.13,52,39.93,86,5.85,8,51.37,69,22.89,3.26,14.45216667,52.6655,86.0975,8.856166667,69.3815
Cancer,Cnc,CNC,The Crab,kan-ser,Cancri,505.872,2,0,1,0,125,1.31,V,7,55.33,9,22.58,6,28.2,33,8.49,8,38.96,19,48.35,7.922166667,9.376333333,6.47,33.1415,8.649333333,19.80583333
Canes Venatici,CVn,CVN,The Hunting Dogs,kA-nEz vE-nat-i-sI,Canum Venaticorum,465.194,5,9,4,0,227,4.09,V,12,6.37,14,7.56,27,50.63,52,21.59,13,6.96,40,6.11,12.10616667,14.126,27.84383333,52.35983333,13.116,40.10183333
Canis Major,CMa,CMA,The Big Dog,kA-nis mA-jer,Canis Majoris,380.118,1,1,2,5,39,1.03,V,6,11.6,7,27.89,-33,15.03,-11,1.81,6,49.74,-22,8.42,6.193333333,7.464833333,-32.7495,-10.96983333,6.829,-21.85966667
Canis Minor,CMi,CMI,The Little Dog,kA-nis mI-ner,Canis Minoris,183.367,0,0,0,1,19,1.16,V,7,6.66,8,11.69,0,22.16,13,13.43,7,39.17,6,25.63,7.111,8.194833333,0.369333333,13.22383333,7.652833333,6.427166667
Capricornus,Cap,CAP,The Goat,kap-ri-kor-nus,Capricorni,413.947,1,0,0,0,28,8.08,V,20,6.77,21,59.08,-27,38.51,-8,24.26,21,2.93,-18,1.39,20.11283333,21.98466667,-26.35816667,-7.595666667,21.04883333,-17.97683333
Carina,Car,CAR,The Keel,ku-rI-nu or ku-rE-nu,Carinae,494.184,0,0,5,4,44,2.01,N,6,2.77,11,20.62,-75,41.04,-50,45.27,8,41.7,-63,13.16,6.046166667,11.34366667,-74.316,-49.2455,8.695,-62.78066667
Cassiopeia,Cas,CAS,The Queen,kas-E-O-pE-yu,Cassiopeiae,598.407,2,7,6,3,41,10.12,V,22,57.08,3,41.23,46,40.55,77,41.54,1,19.16,62,11.04,22.95133333,3.687166667,46.67583333,77.69233333,1.319333333,62.184
Centaurus,Cen,CEN,The Centaur,sen-tor-us,Centauri,1060.422,0,0,6,9,174,4.08,P,11,5.35,15,3.19,-64,41.75,-29,59.69,13,4.27,-47,20.72,11.08916667,15.05316667,-63.30416667,-28.00516667,13.07116667,-46.65466667
Cepheus,Cep,CEP,The King,sE-fE-us or sE-fUs,Cephei,587.787,0,4,5,1,36,10.3,V,20,1.94,9,3.33,53,21.2,88,39.83,2,32.64,71,0.51,20.03233333,9.0555,53.35333333,88.66383333,2.544,71.0085
Cetus,Cet,CET,The Whale,sE-tus,Ceti,1231.411,1,2,3,2,418,10.17,V,23,56.41,3,23.79,-24,52.37,10,30.86,1,40.1,-7,10.76,23.94016667,3.3965,-23.12716667,10.51433333,1.668333333,-6.820666667
Chamaeleon,Cha,CHA,The Chameleon,ku-mE-lE-un,Chamaeleontis,131.592,0,0,1,0,4,3.03,N,7,26.61,13,56.44,-83,7.2,-75,17.4,10,41.53,-79,12.3,7.4435,13.94066667,-82.88,-74.71,10.69216667,-78.795
Circinus,Cir,CIR,The Compasses,ser-sin-us,Circini,93.353,0,0,1,0,5,5.01,N,13,38.72,15,30.36,-70,37.47,-55,26.18,14,34.54,-63,1.82,13.64533333,15.506,-69.3755,-54.56366667,14.57566667,-62.96966667
Columba,Col,COL,The Dove,kO-lum-bu,Columbae,270.184,0,0,1,0,17,12.2,P,5,3.9,6,39.62,-43,6.7,-27,4.63,5,51.76,-35,5.67,5.065,6.660333333,-42.88833333,-26.92283333,5.862666667,-34.9055
Coma Berenices,Com,COM,Berenice's Hair,kO-mu ber-e-nI-sEz,Comae Berenices,386.475,8,6,3,0,329,4.04,V,11,58.42,13,36.12,13,18.24,33,18.45,12,47.27,23,18.34,11.97366667,13.602,13.304,33.3075,12.78783333,23.30566667
Corona Australis,CrA,CRA,The Southern Crown,kO-rO-nu aus-trA-lis,Coronae Australis,127.696,0,0,2,0,5,7.02,P,17,58.5,19,19.08,-45,30.98,-36,46.71,18,38.79,-41,8.85,17.975,19.318,-44.48366667,-35.2215,18.6465,-40.8525
